date,pm25t,precip,temp,API,0.1
1/1/16,7,0,1.95,,
1/2/16,9,0,0.85,,
1/3/16,9,0,0.55,,
1/4/16,4,0.02,0.8,,
1/5/16,11,0.01,-5.6,0.0012,
1/6/16,17,0,-6.4,0.00012,
1/7/16,19,0,-1.35,0.000012,
1/8/16,17,0,1.35,0.150001,
1/9/16,8,0.15,-0.3,0.485,
1/10/16,1,0.47,8.05,0.2485,
1/11/16,7,0.2,0,0.13485,
1/12/16,8,0.11,-6.35,0.563485,
1/13/16,13,0.55,-6.1,0.056347,
1/14/16,13,0,-7.75,0.00563,
1/15/16,12,0,-0.85,0.180561,
1/16/16,8,0.18,5.3,0.038055,
1/17/16,7,0.02,2.5,0.0038,
1/18/16,8,0,-5.25,0.00038,
1/19/16,11,0,-10.55,0.000038,
1/20/16,18,0,-11.4,1.530002,
1/21/16,22,1.53,-8.9,0.153,
1/22/16,12,0,-6.65,4.2953,
1/23/16,3,4.28,-7.5,0.42953,
1/24/16,17,,,0.042953,
1/25/16,16,0,-7.8,0.00428,
1/26/16,11,0,-3.05,0.000428,
1/27/16,8,,,0,
1/28/16,12,0,-1.4,0.05,
1/29/16,6,0.05,0.25,0.015,
1/30/16,14,0.01,-1.65,0.0015,
1/31/16,10,0,4.2,0.04015,
2/1/16,11,0.04,7.25,0.004015,
2/2/16,7,0,4.45,0.070401,
2/3/16,6,0.07,4.75,0.14704,
2/4/16,7,0.14,10.3,0.014704,
2/5/16,9,0,1.7,0.00147,
2/6/16,13,0,0.55,0.000147,
2/7/16,23,0,2.5,0.000014,
2/8/16,11,0,2.5,0.04,
2/9/16,10,0.04,1.9,0.064,
2/10/16,8,0.06,0,0.0064,
2/11/16,6,0,-4.7,0.00064,
2/12/16,17,0,-7.75,1.580064,
2/13/16,4,1.58,-7.75,0.158006,
2/14/16,12,0,-12.25,0.1258,
2/15/16,10,0.11,-9.75,1.12258,
2/16/16,11,1.11,-0.55,0.552258,
2/17/16,16,0.44,1.65,0.05521,
2/18/16,7,0,-2.5,0.005521,
2/19/16,7,0,-2.5,0.000551,
2/20/16,6,0,6.4,0.000044,
